umidadeSolo;temperaturaAmbiente;umidadeAmbiente;umidadeIdeal;planta;Liga
2;15;84;50;Soja;1
46;39;38;50;Soja;1
59;5;24;50;Soja;0
36;44;86;50;Soja;1
66;34;41;50;Soja;0
8;16;66;50;Soja;1
32;40;24;50;Soja;1
100;3;25;50;Soja;0
45;12;5;50;Soja;1
79;7;58;50;Soja;0
30;3;37;50;Soja;1
27;12;33;50;Soja;1
2;4;68;50;Soja;1
16;35;42;50;Soja;1
40;39;7;50;Soja;1
10;5;56;50;Soja;1
75;33;8;50;Soja;0
71;39;45;50;Soja;0
63;20;55;50;Soja;0
38;35;53;50;Soja;1
48;1;63;50;Soja;0
39;5;98;50;Soja;0
40;11;41;50;Soja;1
52;12;78;50;Soja;0
63;10;20;50;Soja;0
69;20;24;50;Soja;0
66;12;44;50;Soja;0
68;18;8;50;Soja;0
72;44;12;50;Soja;0
62;42;10;50;Soja;0
78;43;82;50;Soja;0
5;43;2;50;Soja;1
28;19;84;50;Soja;0
94;38;57;50;Soja;0
66;40;38;50;Soja;0
95;4;46;50;Soja;0
57;5;80;50;Soja;0
68;10;29;50;Soja;0
60;12;29;50;Soja;0
59;36;34;50;Soja;0
69;9;46;50;Soja;0
7;29;94;50;Soja;1
77;27;42;50;Soja;0
93;17;2;50;Soja;0
35;12;92;50;Soja;1
47;45;72;50;Soja;0
84;6;60;50;Soja;0
42;6;53;50;Soja;1
41;31;54;50;Soja;1
33;34;4;50;Soja;1
